DATE,BRACPIALLQINMEI,MABMM301BRQ189N,NGDPSAXDCBRQ
1995-10-01,23.05406,225000.550000000000,.
1996-01-01,21.49602,238417.508000000000,199769.90625
1996-04-01,17.61348,248689.457000000000,207257.40625
1996-07-01,14.09904,263598.547000000000,218383.5
1996-10-01,10.76801,285941.487000000000,229352.203125
1997-01-01,9.06655,302128.765000000000,230588.296875
1997-04-01,7.76660,312206.566000000000,235210.5
1997-07-01,5.72345,328034.314000000000,242692
1997-10-01,5.30495,340207.789000000000,243598.203125
1998-01-01,4.64765,355059.697000000000,247095.90625
1998-04-01,3.73482,365836.441000000000,253570.203125
1998-07-01,2.62513,362409.222000000000,254777.09375
1998-10-01,1.82036,376014.554000000000,246907.796875
1999-01-01,2.30323,395691.366000000000,261995.5
1999-04-01,3.26718,409710.296000000000,270288
1999-07-01,5.50146,430713.745000000000,271419.40625
1999-10-01,8.36160,468728.479000000000,284008.1875
2000-01-01,7.87263,488779.471000000000,288328.90625
2000-04-01,6.58278,521330.506000000000,294311.3125
2000-07-01,7.56191,532149.560999999940,306128.40625
2000-10-01,6.20156,556577.046000000000,310324.40625
2001-01-01,6.21164,571148.495000000000,323953.5
2001-04-01,6.99774,590938.601000000000,324861.5
2001-07-01,6.63579,610227.242000000000,329756.3125
2001-10-01,7.49204,627745.633000000000,337184.6875
2002-01-01,7.62714,642165.859000000000,354556.8125
2002-04-01,7.80450,641695.390000000000,368578.40625
2002-07-01,7.63516,661980.677000000000,376949.6875
2002-10-01,10.64528,691107.613000000000,388703.1875
2003-01-01,15.63241,710712.013000000000,411930.1875
2003-04-01,16.85825,731530.105000000000,420470.59375
2003-07-01,15.21523,779958.060000000000,435737.1875
2003-10-01,11.39426,841738.413000000000,449813.09375
2004-01-01,6.75283,870826.987000000000,462198.3125
2004-04-01,5.49056,916975.348000000000,483889
2004-07-01,6.89888,949435.412000000000,500798.09375
2004-10-01,7.23457,990547.645000000000,510864.59375
2005-01-01,7.44336,1027786.067999999900,519691.09375
2005-04-01,7.79445,1050018.485000000000,538265.875
2005-07-01,6.20493,1109859.415000000000,547820.125
2005-10-01,6.08777,1166453.388000000000,564806.875
2006-01-01,5.51021,1217947.577000000000,576200.375
2006-04-01,4.29597,1251909.775000000000,585538.6875
2006-07-01,3.83512,1292498.222000000000,612554.6875
2006-10-01,3.14132,1365957.852000000000,635156.1875
2007-01-01,2.98776,1403437.444000000000,655935
2007-04-01,3.29021,1468643.962000000000,674536.8125
2007-07-01,4.02190,1498606.015000000000,685875.6875
2007-10-01,4.25402,1600005.607000000000,703915.5
2008-01-01,4.63466,1636587.622000000000,740281.625
2008-04-01,5.56036,1721026.840000000000,774468.375
2008-07-01,6.26098,1825938.710000000000,805433.625
2008-10-01,6.23258,1894808.837000000000,789619.5
2009-01-01,5.78262,1922395.330000000000,786044.8125
2009-04-01,5.17613,1997955.514000000000,809644.1875
2009-07-01,4.40198,2108364.056999999800,846094.3125
2009-10-01,4.23228,2196530.424000000000,891255.6875
2010-01-01,4.86376,2363486.147000000000,919205.1875
2010-04-01,5.10603,2429332.137000000000,950029.375
2010-07-01,4.59685,2567999.140000000000,990694.5
2010-10-01,5.58046,2681421.355000000000,1025917.8125
2011-01-01,6.10267,2774165.612000000000,1050947.5
2011-04-01,6.59199,2859691.238000000000,1091356.125
2011-07-01,7.13654,3009561.825000000000,1104733
2011-10-01,6.70378,3126468.029000000000,1129345.375
2012-01-01,5.76644,3280594.773000000000,1164463.625
2012-04-01,5.00262,3378112.765000000000,1187070.25
2012-07-01,5.24046,3509444.353000000000,1222964.25
2012-10-01,5.60807,3609680.508000000000,1240262
2013-01-01,6.35247,3690666.043000000000,1276965.875
2013-04-01,6.56464,3781611.175000000000,1327198.25
2013-07-01,6.07269,3856984.371000000000,1347335.25
2013-10-01,5.84105,3947967.099000000000,1380119.75
2014-01-01,5.80681,3987162.587000000000,1421656.75
2014-04-01,6.39282,4101325.335000000500,1427669.25
2014-07-01,6.58748,4306043.942999999500,1455768.375
2014-10-01,6.51620,4438289.475000000000,1473858.75
2015-01-01,7.65856,4475838.274000000000,1491172.375
2015-04-01,8.51398,4563586.143000000000,1485207.625
2015-07-01,9.52547,4636253.676000000000,1502616
2015-10-01,10.36080,4854978.073000000000,1516791
2016-01-01,10.14375,4953973.835000000000,1534817.375
2016-04-01,9.14643,5042395.159000000000,1563839.75
2016-07-01,8.72832,5205671.446000000000,1572173.75
2016-10-01,7.04451,5370570.893000000000,1598496.25
2017-01-01,4.89287,5507791.836000000000,1621407.25
2017-04-01,3.55750,5518949.598000000000,1635107.875
2017-07-01,2.56817,5677639.428000000000,1642847.25
2017-10-01,2.81772,5770354.874000000000,1686116.5
2018-01-01,2.79345,5858214.642000000000,1720307.5
2018-04-01,3.33606,5937930.939000000000,1738488.75
2018-07-01,4.40126,6107351.558000000000,1758914.75
2018-10-01,4.11523,6327699.486000000000,1786430
2019-01-01,4.08111,6316011.118000000000,1799140.125
2019-04-01,4.31685,6462185.630000000000,1831383
2019-07-01,3.18093,6646055.953000000000,1867279.25
2019-10-01,3.37187,6813474.032000000000,1891328.625
2020-01-01,3.83152,6874426.696000000000,1912198
2020-04-01,2.13634,7400929.374000000000,1756674.75
2020-07-01,2.62648,7752745.912000000000,1913617.25
2020-10-01,4.25065,8035557.724000000000,2027107
2021-01-01,5.28554,8062170.326000000000,2207124.5
2021-04-01,7.72015,8345682.828999999000,2204957
2021-07-01,9.64219,8583398.277000000000,2276525.75
2021-10-01,10.48822,8814965.194000000000,2323534.75
2022-01-01,10.74356,9031763.011000000000,2381479.5
2022-04-01,11.91592,9257217.628000000000,2515651
2022-07-01,8.64533,9595062.884000000000,2578429.5
2022-10-01,6.05008,9684513.336000000000,2604116
2023-01-01,5.33539,9926239.857000000000,2657362.75
2023-04-01,3.75869,10228434.340000000000,2695387.5
2023-07-01,4.59401,10578040.410000000000,2715916.75
2023-10-01,4.70765,.,2787445
2024-01-01,4.30810,.,2794941
2024-04-01,3.94736,.,2880002
