DATE,CPIAUCSL,M2SL,GDP
1947-01-01,.,.,243.164
1947-04-01,.,.,245.968
1947-07-01,.,.,249.585
1947-10-01,.,.,259.745
1948-01-01,6.81818,.,265.742
1948-04-01,9.37500,.,272.567
1948-07-01,6.65499,.,279.196
1948-10-01,2.73387,.,280.366
1949-01-01,1.74468,.,275.034
1949-04-01,-0.95238,.,271.351
1949-07-01,-2.50411,.,272.889
1949-10-01,-1.82952,.,270.627
1950-01-01,-1.12923,.,280.828
1950-04-01,-0.16722,.,290.383
1950-07-01,2.48421,.,308.153
1950-10-01,5.80263,.,319.945
1951-01-01,9.47547,.,336.0
1951-04-01,8.58459,.,344.09
1951-07-01,6.94330,.,351.385
1951-10-01,5.96477,.,356.178
1952-01-01,1.97063,.,359.82
1952-04-01,2.31392,.,361.03
1952-07-01,2.30503,.,367.701
1952-10-01,0.90669,.,380.812
1953-01-01,0.90944,.,387.98
1953-04-01,0.90464,.,391.749
1953-07-01,0.97634,.,391.171
1953-10-01,0.59903,.,385.97
1954-01-01,1.12655,.,385.345
1954-04-01,0.63504,.,386.121
1954-07-01,-0.29751,.,390.996
1954-10-01,-0.37216,.,399.734
1955-01-01,-0.51987,.,413.073
1955-04-01,-0.85375,.,421.532
1955-07-01,0.14920,.,430.221
1955-10-01,0.37355,.,437.092
1956-01-01,0.37327,.,439.746
1956-04-01,1.64732,.,446.01
1956-07-01,1.86220,.,451.191
1956-10-01,2.82843,.,460.463
1957-01-01,3.60729,.,469.779
1957-04-01,3.53591,.,472.025
1957-07-01,3.54662,.,479.49
1957-10-01,3.04017,.,474.864
1958-01-01,3.62527,.,467.54
1958-04-01,2.84596,.,471.978
1958-07-01,2.08333,.,485.841
1958-10-01,1.75623,.,499.555
1959-01-01,0.34638,289.2,510.33
1959-04-01,0.69180,294.1,522.653
1959-07-01,1.17606,296.7,525.034
1959-10-01,1.51881,297.8,528.6
1960-01-01,1.51881,299.3,542.648
1960-04-01,1.71762,302.3,541.08
1960-07-01,1.23077,308.4,545.604
1960-10-01,1.36008,312.4,540.197
1961-01-01,1.46209,318.3,545.018
1961-04-01,0.77676,324.3,555.545
1961-07-01,1.24958,329.5,567.664
1961-10-01,0.67092,335.5,580.612
1962-01-01,1.10590,343.1,594.013
1962-04-01,1.23995,349.3,600.366
1962-07-01,1.46765,354.9,609.027
1962-10-01,1.23292,362.7,612.28
1963-01-01,1.12695,370.7,621.672
1963-04-01,1.32406,378.4,629.752
1963-07-01,0.98619,386,644.444
1963-10-01,1.64582,393.2,653.938
1964-01-01,1.40937,399.8,669.822
1964-04-01,1.30676,407.1,678.674
1964-07-01,1.17188,416.9,692.031
1964-10-01,1.19819,424.7,697.319
1965-01-01,1.19586,433.2,717.79
1965-04-01,1.93486,440.1,730.191
1965-07-01,1.73745,449.5,749.323
1965-10-01,1.92000,459.2,771.857
1966-01-01,2.77866,467.2,795.734
1966-04-01,2.43594,471.2,804.981
1966-07-01,3.57369,475.4,819.638
1966-10-01,3.35950,480.2,833.302
1967-01-01,2.54817,489.7,844.17
1967-04-01,2.84126,502,848.983
1967-07-01,2.59542,514.7,865.233
1967-10-01,3.28068,524.8,881.439
1968-01-01,3.93939,533.2,909.387
1968-04-01,4.20420,542.6,934.344
1968-07-01,4.46429,553.6,950.825
1968-10-01,4.70588,566.8,968.03
1969-01-01,5.24781,574.4,993.337
1969-04-01,5.47550,578.5,1009.02
1969-07-01,5.69801,582.1,1029.956
1969-10-01,5.89888,587.9,1038.147
1970-01-01,6.09418,587.3,1051.2
1970-04-01,6.01093,595.2,1067.375
1970-07-01,5.66038,611.2,1086.059
1970-10-01,5.57029,626.5,1088.608
1971-01-01,4.43864,649.9,1135.156
1971-04-01,4.38144,673.0,1156.271
1971-07-01,4.08163,692.5,1177.675
1971-10-01,3.26633,710.3,1190.297
1972-01-01,3.50000,733.5,1230.609
1972-04-01,2.96296,749.7,1266.369
1972-07-01,3.18627,778.3,1290.566
1972-10-01,3.40633,802.3,1328.904
1973-01-01,4.83092,815.3,1377.49
1973-04-01,5.99520,833.3,1413.887
1973-07-01,7.36342,839.3,1433.838
1973-10-01,8.94118,855.5,1476.289
1974-01-01,10.13825,870.1,1491.209
1974-04-01,10.85973,877.8,1530.056
1974-07-01,11.94690,887.9,1560.026
1974-10-01,12.09503,902.1,1599.679
1975-01-01,10.46025,925.0,1616.116
1975-04-01,9.18367,963.0,1651.853
1975-07-01,7.90514,991.5,1709.82
1975-10-01,7.12909,1016.2,1761.831
1976-01-01,6.06061,1050.0,1820.487
1976-04-01,5.98131,1077.6,1852.332
1976-07-01,5.49451,1110.8,1886.558
1976-10-01,5.03597,1152.0,1934.273
1977-01-01,6.42857,1188.5,1988.648
1977-04-01,6.70194,1217.8,2055.909
1977-07-01,6.42361,1246.2,2118.473
1977-10-01,6.67808,1270.3,2164.27
1978-01-01,6.37584,1292.2,2202.76
1978-04-01,7.43802,1318.5,2331.633
1978-07-01,8.48287,1345.0,2395.053
1978-10-01,8.98876,1366.0,2476.949
1979-01-01,10.25237,1387.8,2526.61
1979-04-01,11.07692,1423.0,2591.247
1979-07-01,11.87970,1454.1,2667.565
1979-10-01,13.25479,1473.7,2723.883
1980-01-01,14.59227,1499.8,2789.842
1980-04-01,14.26593,1529.2,2797.352
1980-07-01,12.76882,1574.0,2856.483
1980-10-01,12.35371,1599.8,2985.557
1981-01-01,10.61174,1636.6,3124.206
1981-04-01,9.69697,1670.3,3162.532
1981-07-01,10.96544,1706.0,3260.609
1981-10-01,8.91204,1755.5,3280.818
1982-01-01,6.88488,1786.5,3274.302
1982-04-01,7.18232,1826.0,3331.972
1982-07-01,4.94092,1858.4,3366.322
1982-10-01,3.82572,1905.9,3402.561
1983-01-01,3.59029,2015.2,3473.413
1983-04-01,2.47423,2053.5,3578.848
1983-07-01,2.76356,2083.2,3689.179
1983-10-01,3.78710,2123.5,3794.706
1984-01-01,4.89297,2175.2,3908.054
1984-04-01,4.32596,2215.1,4009.601
1984-07-01,4.28287,2244.4,4084.25
1984-10-01,4.04339,2306.4,4148.551
1985-01-01,3.79009,2366.2,4230.168
