DATE,JPNCPIALLMINMEI,MABMM301JPM189N,JPNNGDP
1956-01-01,0.10796,.,.
1956-04-01,1.94384,.,.
1956-07-01,0.64380,.,.
1956-10-01,2.74121,.,.
1957-01-01,2.26538,.,.
1957-04-01,1.58897,.,.
1957-07-01,3.62474,.,.
1957-10-01,1.81434,.,.
1958-01-01,-0.42191,.,.
1958-04-01,-0.10430,.,.
1958-07-01,-1.33745,.,.
1958-10-01,0.20963,.,.
1959-01-01,1.27117,.,.
1959-04-01,0.31316,.,.
1959-07-01,0.93845,.,.
1959-10-01,2.09204,.,.
1960-01-01,3.13805,.,.
1960-04-01,3.74609,.,.
1960-07-01,4.54546,.,.
1960-10-01,3.58610,.,.
1961-01-01,4.25965,.,.
1961-04-01,3.61083,.,.
1961-07-01,5.13835,.,.
1961-10-01,9.00100,.,.
1962-01-01,7.68486,.,.
1962-04-01,8.51888,.,.
1962-07-01,6.01508,.,.
1962-10-01,4.90018,.,.
1963-01-01,7.10329,.,.
1963-04-01,7.89998,.,.
1963-07-01,8.29087,.,.
1963-10-01,5.32301,.,.
1964-01-01,3.13901,.,.
1964-04-01,2.52750,.,.
1964-07-01,3.37324,.,.
1964-10-01,4.69431,.,.
1965-01-01,6.95649,.,.
1965-04-01,6.85956,.,.
1965-07-01,6.42105,.,.
1965-10-01,6.46504,.,.
1966-01-01,5.99594,.,.
1966-04-01,5.31596,.,.
1966-07-01,4.54996,.,.
1966-10-01,4.40747,.,.
1967-01-01,4.02686,.,.
1967-04-01,2.38097,.,.
1967-07-01,4.06811,.,.
1967-10-01,5.62850,.,.
1968-01-01,5.25346,.,.
1968-04-01,5.58138,.,.
1968-07-01,6.45457,.,.
1968-10-01,3.90765,.,.
1969-01-01,3.85290,.,.
1969-04-01,5.81499,.,.
1969-07-01,5.55080,.,.
1969-10-01,6.41027,.,.
1970-01-01,7.71710,.,.
1970-04-01,7.06699,.,.
1970-07-01,5.38626,.,.
1970-10-01,6.97178,.,.
1971-01-01,5.55555,.,.
1971-04-01,6.81819,.,.
1971-07-01,8.01280,.,.
1971-10-01,5.01566,.,.
1972-01-01,5.26316,.,.
1972-04-01,4.86321,.,.
1972-07-01,3.85759,.,.
1972-10-01,5.67163,.,.
1973-01-01,8.52940,.,.
