DATE,GBRCPIALLMINMEI_PC1,MABMM301GBQ189S,UKNGDP
1955-01-01,.,.,4666
1955-04-01,.,.,4688
1955-07-01,.,.,4862
1955-10-01,.,.,4953
1956-01-01,6.44774,.,5086
1956-04-01,5.03027,.,5155
1956-07-01,4.44505,.,5235
1956-10-01,3.04407,.,5368
1957-01-01,2.76407,.,5380
1957-04-01,3.22267,.,5461
1957-07-01,3.91774,.,5578
1957-10-01,4.64217,.,5685
1958-01-01,4.13063,.,5800
1958-04-01,4.25732,.,5724
1958-07-01,2.16776,.,5824
1958-10-01,1.84843,.,5872
1959-01-01,1.75277,.,5885
1959-04-01,-0.81669,.,6079
1959-07-01,0.27675,.,6103
1959-10-01,0.00000,.,6321
1960-01-01,-0.54398,.,6425
1960-04-01,1.46387,.,6484
1960-07-01,1.65595,.,6578
1960-10-01,1.81488,.,6714
1961-01-01,2.73474,.,6881
1961-04-01,3.33632,.,6881
1961-07-01,4.52489,.,7119
1961-10-01,4.36721,.,7037
1962-01-01,4.78038,.,7132
1962-04-01,5.50393,.,7307
1962-07-01,3.25757,.,7381
1962-10-01,2.64945,.,7415
1963-01-01,3.18408,.,7365
1963-04-01,0.97182,.,7750
1963-07-01,1.77341,.,7869
1963-10-01,1.85727,.,8115
1964-01-01,1.44648,.,8142
1964-04-01,3.36862,.,8433
1964-07-01,4.35623,.,8618
1964-10-01,4.79847,.,8854
1965-01-01,4.46768,.,9019
1965-04-01,4.93483,.,9062
1965-07-01,4.82375,.,9283
1965-10-01,4.48717,.,9464
1966-01-01,4.27663,.,9606
1966-04-01,3.90417,.,9772
1966-07-01,3.62832,.,9956
1966-10-01,3.68099,.,10060
1967-01-01,3.49039,.,10158
1967-04-01,2.39111,.,10413
1967-07-01,1.45174,.,10483
1967-10-01,2.45139,.,10619
1968-01-01,3.37269,.,11097
1968-04-01,4.58716,.,11230
1968-07-01,5.89225,.,11586
1968-10-01,5.94060,.,11882
1969-01-01,6.28058,.,12086
1969-04-01,5.34290,.,12267
1969-07-01,5.08745,.,12541
1969-10-01,4.67288,.,12867
1970-01-01,5.14198,.,13220
1970-04-01,5.90462,.,13803
1970-07-01,7.03479,.,14253
1970-10-01,7.88693,.,14765
1971-01-01,8.75912,.,14986
1971-04-01,10.29306,.,15497
1971-07-01,9.89399,.,15993
1971-10-01,9.03446,.,16394
1972-01-01,7.58389,.,16599
1972-04-01,6.09204,.,17388
1972-07-01,7.00965,.,17759
1972-10-01,7.65340,.,18832
1973-01-01,8.17216,.,20046
1973-04-01,9.28530,.,19874
1973-07-01,9.25481,.,20558
1973-10-01,10.57574,.,21315
1974-01-01,13.48721,.,21132
1974-04-01,16.53804,.,22651
1974-07-01,17.10563,.,23896
1974-10-01,19.13620,.,24994
1975-01-01,21.15008,.,26814
1975-04-01,26.12695,.,28129
